title,category,publish_date,article_url,content,summary
Song Hye Kyo Tandatangani Kontrak Dengan Rumah Produksi Hong Kong Milik Wong Kar Wai,SELEBRITI,2019-04-15,https://www.kapanlagi.com/korea/song-hye-kyo-tandatangani-kontrak-dengan-rumah-produksi-hong-kong-milik-wong-kar-wai-e58f6a.html,"Song Hye Kyo telah menandatangani kontrak dengan sebuah rumah produksi asal Hong Kong, Jet Tone Films. United Artist Agency, agensi Song Hye Kyo telah mengkonfirmasi kabar tersebut. Rumah produksi yang akan bekerja sama dengan istri Song Jong Ki ini adalah milik sutradara ternama asal Hong Kong, Wong Kar Wai.,""Song Hye Kyo telah menandatangani kontrak dengan rumah produksi milik sutradara Wong Kar Wai, Jet Tone Films,"" ungkap pihak agensi pada Senin 15 April 2019,Kabar ini pertama kali mencuat ketika pemeran drama,ini menghadiri Hong Kong Film Award. Ia membacakan nominasi untuk salah satu kategori bersama Andy Lau. Dalam kesempatan tersebut, Song Hye Kyo mengungkapkan keinginannya untuk terus bekerja sama dengan sutradara dan para pemeran dari Hong Kong,,,,,,- Jet Tone Film juga membenarkan kabar bergabungnya Song Hye Kyo. Pihak rumah produksi Hong Kong tersebut juga menulis sebuah ucapan selamat datang untuk Song Hye Kyo melalui Weibo.,,,,,- Song Hye Kyo sebelumnya juga pernah terlibat dalam film produksi Jet Tone Films. Akrtis cantik ini berperan dalam film,yang dirilis tahun 2013 silam. Film aksi ini menceritakan tentang kehidupan cucu seorang ahli martial arts, Ip Man.","Song Hye Kyo telah menandatangani kontrak dengan sebuah rumah produksi asal Hong Kong, Jet Tone Films. ,""Song Hye Kyo telah menandatangani kontrak dengan rumah produksi milik sutradara Wong Kar Wai, Jet Tone Films,"" ungkap pihak agensi pada Senin 15 April 2019,Kabar ini pertama kali mencuat ketika pemeran drama,ini menghadiri Hong Kong Film Award. Pihak rumah produksi Hong Kong tersebut juga menulis sebuah ucapan selamat datang untuk Song Hye Kyo melalui Weibo.,,,,,- Song Hye Kyo sebelumnya juga pernah terlibat dalam film produksi Jet Tone Films. Film aksi ini menceritakan tentang kehidupan cucu seorang ahli martial arts, Ip Man."
"Tanpa Kabar, Jeno dan Jaemin NCT Dream Diam-diam Kunjungi Indonesia",SELEBRITI,2019-04-15,https://www.kapanlagi.com/korea/tanpa-kabar-jeno-dan-jaemin-nct-dream-diam-diam-kunjungi-indonesia-89b34a.html,"Dua anggota NCT Dream, Jeno dan Jaemin mengejutkan penggemar setelah mereka diketahui mendatangi Indonesia secara diam-diam. Keduanya diketahui mendatangi kantor SM Entertainment yang ada di Jakarta.,Hal ini diketahui dari unggahan keduanya di akun Instagram Resmi milik NCT Dream, pada Minggu 14 April 2019. Keduanya mengunggah foto ketika berada di kantor SM Entertainment yang terletak di kawasan FX Sudirman, Jakarta.,,,,,,- Dalam unggah tersebut, Jeno menuliskan bahwa dirinya merasa sedih harus datang tanpa memberi kabar pada para penggemar. Ia juga mengungkapkan penyesalannya tidak bisa menemui para penggemar yang ada di Indonesia.,,,,,- Tak hanya mengungkapkan kesedihan mereka, Jeno dan Jaemin juga berjanji akan kembali ke Indonesia. Dalam kunjungan selanjutnya mereka berjanji akan menemui para penggemar yang ada dan membuat kenangan indah bersama.","Dua anggota NCT Dream, Jeno dan Jaemin mengejutkan penggemar setelah mereka diketahui mendatangi Indonesia secara diam-diam. Keduanya mengunggah foto ketika berada di kantor SM Entertainment yang terletak di kawasan FX Sudirman, Jakarta.,,,,,,- Dalam unggah tersebut, Jeno menuliskan bahwa dirinya merasa sedih harus datang tanpa memberi kabar pada para penggemar. Dalam kunjungan selanjutnya mereka berjanji akan menemui para penggemar yang ada dan membuat kenangan indah bersama."
Ini Alasan Kenapa Captain America Dibuat Tetap Hidup di 'AVENGERS: ENDGAME',SELEBRITI,2019-06-11,https://www.kapanlagi.com/showbiz/film/internasional/ini-alasan-kenapa-captain-america-dibuat-tetap-hidup-di-avengers-endgame-f9a2a7.html,"Ketika,akan tayang di bioskop seluruh dunia, penggemar dan penonton setia sudah menduga kalau bakal ada superhero yang bakal meninggal. Kecurigaan pun mengarah pada Steve Rogers alias Captain America yang diperankan oleh,.,Namun ternyata dugaan banyak orang itu salah. Ternyata yang diceritakan meninggal adalah Black Widow dan Iron Man. Dan kematian dua karakter yang mengorbankan dirinya tersebut, sukses membuat penonton berurai air mata.,Pernah nggak sih mikir, kenapa Captain America justru masih hidup? Apa alasan sang kapten tetap selamat?,,,,,Dalam wawancara dengan Empire, salah satu sutradara ENDGAME, Joe Russo, memberikan alasan kenapa Captain tetap hidup. Menurutnya mematikan Captain America juga akan membuat emosi semakin menjadi-jadi.,,,,Dengan menceritakan Captain America masih hidup, membuat penonton sedikit bernafas lega. Walaupun pada akhirnya dia tak akan kembali di film-film selanjutnya. Apalagi seperti kita tahu, di ending ENDGAME, Steve Rogers menjadi tua.,","Ketika,akan tayang di bioskop seluruh dunia, penggemar dan penonton setia sudah menduga kalau bakal ada superhero yang bakal meninggal. Kecurigaan pun mengarah pada Steve Rogers alias Captain America yang diperankan oleh,. ,Namun ternyata dugaan banyak orang itu salah. Apa alasan sang kapten tetap selamat?,,,,,Dalam wawancara dengan Empire, salah satu sutradara ENDGAME, Joe Russo, memberikan alasan kenapa Captain tetap hidup. Menurutnya mematikan Captain America juga akan membuat emosi semakin menjadi-jadi. Walaupun pada akhirnya dia tak akan kembali di film-film selanjutnya."
"41 Idola yang Pilih Tinggalkan SM Ent, Sebagian Besar Karena Nggak Cocok Kontrak",SELEBRITI,2019-06-12,https://www.kapanlagi.com/korea/41-idola-yang-pilih-tinggalkan-sm-ent-sebagian-besar-karena-nggak-cocok-kontrak-bbff43.html,"SM Entertainment dikenal sebagai salah satu agensi hiburan terbesar di Korea Selatan. Mereka melahirkan sejumlah idola populer di seluruh dunia dan melahirkan bintang-bintang berbakat baik sebagai penyanyi hingga aktris.,Tapi tentunya sebagai agensi SM punya kekurangan yang membuat para artisnya ada yang memutuskan untuk memutuskan atau tak mau perpanjang kontrak. Inilah 41 artis berbakat yang pernah dibina SM dan memutuskan untuk berkarir di agensi lain. Siapa saja?,,,,,,,bisa dibilang adalah idola dari generasi pertama yang menciptakan fandom culture dan populer di luar Korea. Dibentuk tahun 1996, mereka sukses besar dan sangat populer pad masanya. Sayangnya tahun 2001,,,,n, dan,memutuskan keluar dari SM karena tidak sepakat dengan tawaran kontrak. Ketiganya lalu membentuk jtl.,,,,,adalah girlgroup pertama produksi SM yang debut di 1997 dan sukses besar juga kala itu. Sayangnya,,,, dan,hanya bertahan lima tahun dan bubar di akhir 2002. Alasannya karena mereka tak setuju dengan SM yang ingin mengontrak ketiganya sebagai individu, bukan grup.,,,,,dan,debut dalam girlgroup,bersama dengan dua member lainnya. Sayangnya grup tersebut bubar di 2003 dan kabar dua member lainnya tidak diketahui dengan jelas sekarang, tapi kemungkinan besar mereka juga sudah meninggalkan SM.,,,,SM mendebutkan,tahun 1998. Sempat tertatih di awal debut, Er,c dkk meraih kesuksesan lewat album kedua setahun kemudian. Mereka memutuskan meninggalkan SM tahun 2003 setelah kontrak habis. Setelah gabung di Good Entertainment, para member mulai aktif dengan karir individual.,,,,,adalah duo bersuara indah yang terdiri dari,dan,. Dibentuk tahun 1999, mereka meninggalkan SM tahun 2004 setelah kontrak habis. Setelah itu keduanya gabung dengan PFull Entertainment dengan alasan jika gabung dengan agensi lebih kecil mereka bisa lebih fokus dalam bermusik tanpa perlu memperhatikan aspek komersial saja.,,,,,adalah band yang didebutkan SM pada 2004. Awalnya mereka terdiri dari empat member. Salah satunya adalah,yang meninggalkan SM tahun 2006 untuk fokus sebagai aktor. Ia sempat melakukan tuntutan kepada SM atas kontrak 17 tahunnya dengan agensi yang dianggap menghambat karir di 2015 dan dinyatakan kalah.,,,,,adalah salah satu boyband terbaik dalam sejarah K-Pop. Debut di 2003, mereka bukan cuma sukses besar di Korea tapi juga populer luar biasa di Jepang. Sayangnya, di tengah kesuksesan,,,,dan,memutuskan untuk menuntut SM karena merasa kontrak mereka terlalu panjang.,,,,Akhir 2009, setelah,meraih kesuksesan dengan single Sorry Sorry, member asal China,,, memutuskan menuntut SM Entertainment untuk memutuskan kontraknya dan menghentikan aktivitas sebagai member Suju dan,. Sejak saat itu, Hangeng kembali dan beraktivitas di China.,,,,Di tahun 2010, SM membentuk SM The Ballad yang terdiri dari,, Jay,,serta Jino yang kala itu satu-satunya yang belum pernah debut di grup. Nama Jino sempat disebut bakal gabung sebagai member,, tapi ternyata sejak itu tak ada kabarnya lagi.,,,,SM membentuk duo cantik,tahun 2002 yang hanya bertahan selama 2 tahun. Jiyeon lalu berganti stage nama,dan gabung dengan girlband bentukan SM,,di 2004. Sedangkan,memilih untuk menjadi aktris hingga DJ radio dan meninggalkan SM pada 2012. Sampai sekarang Isak yang berdarah Jerman ini masih aktif sebagai DJ radio.,,,,Di tengah puncak popularitas EXO,,yang kala itu berstatus sebagai leader,mengajukan tuntutan kepada SM untuk memutus kontraknya pada Mei 2014 dengan alasan kesehatan, tidak adil dalam pembagian profit, tidak merasa bebas, dan merasa diperlakukan seperti barang. Di tahun yang sama pada bulan Oktober,,juga mengajukan tuntutan yang sama dengan alasan kesehatan dan merasa diperlakukan berbeda dengan member EXO lain yang berasal dari Korea.,,,,Tak bisa dipungkiri kalau,atau SNSD adalah girlband SM paling sukses dan populer. Sayangnya pada September 2014,,diumumkan keluar dari grup dan SM dengan alasan yang sampai sekarang masih menjadi misteri serta SNSD akan beraktivitas dengan 8 member saja.,,,,,adalah girlband SM yang terdiri dari empat member dan debut di 2004. Sayangnya setelah lama vakum, mereka lebih aktif sebagai duo,. Sedangkan Lina lebih dikenal sebagai bintang musikal.,,,,Selain idola K-Pop, SM Entertainment juga punya beberapa aktris cantik. Salah satunya adalah,yang dikenal lewat kecantikan wajahnya. Sayangnya di awal 2017, ia memutuskan untuk meninggalkan SM yang telah 17 tahun menemaninya. Sejak saat itu, Go Ara menjadi aktris di bawah agensi Artists Company.,,,,Selain,, SM punya solois bersuara indah yang berasal dari China,,. Ia juga anggota dari SM The Ballad angkatan kedua di tahun 2014 dan sempat hampir debut bersama SNSD. Lama tak ada kabarnya, Zhang Li Yin memberitahukan lewat media sosial pada Februari 2017 kalau kontraknya bersama SM segera berakhir dan ia memutuskan untuk kembali ke China. Di bulan Agustus 2017, ia tercatat sebagai bagian dari artis di agensi Show City Times.,,,,,diperkenalkan sebagai bagian dari SM The Rookies pada 2013 dan punya banyak penggemar sejak saat itu. Sempat ikut di acara untuk,, Hansol diketahui meninggalkan SM karena diduga tak kunjung debut. Ia ikut serta di,dan debut di grup untuk para pemenang acara tersebut,,. Kini Hansol tergabung dalam boyband,yang resmi debut sejak April 2019 sebagai main dancer.,,,,Selain trainee cowok, SM The Rookies juga memperkenalkan talenta cewek mereka. Di antaranya adalah,dan,. Herin diperkenalkan sebagai member SM The Rookies pada 2015 dan diketahui meninggalkan agensi tersebut pada 2017, saat ia ikut dalam program,. Sayangnya Herin gagal debut bersama dengan girlband,, grup bentukan untuk para pemenang di acara Idol School.,,,,Henry Lau debut sebagai member dari Super Junior-M tahun 2008. Selain sebagai member Suju-M, Henry juga aktif sebagai penyanyi solo, komposer, dan bintang variety show. Ia mengumumkan meninggalkan SM pada April 2018. Sampai sekarang ia masih aktif bermusik, jadi aktor dan lain-lain.,","SM Entertainment dikenal sebagai salah satu agensi hiburan terbesar di Korea Selatan. Mereka melahirkan sejumlah idola populer di seluruh dunia dan melahirkan bintang-bintang berbakat baik sebagai penyanyi hingga aktris. ,Tapi tentunya sebagai agensi SM punya kekurangan yang membuat para artisnya ada yang memutuskan untuk memutuskan atau tak mau perpanjang kontrak. Inilah 41 artis berbakat yang pernah dibina SM dan memutuskan untuk berkarir di agensi lain. Dibentuk tahun 1996, mereka sukses besar dan sangat populer pad masanya. Sayangnya tahun 2001,,,,n, dan,memutuskan keluar dari SM karena tidak sepakat dengan tawaran kontrak. ,,,,,dan,debut dalam girlgroup,bersama dengan dua member lainnya. Mereka memutuskan meninggalkan SM tahun 2003 setelah kontrak habis. Setelah gabung di Good Entertainment, para member mulai aktif dengan karir individual. ,,,,,adalah duo bersuara indah yang terdiri dari,dan,. Awalnya mereka terdiri dari empat member. Salah satunya adalah,yang meninggalkan SM tahun 2006 untuk fokus sebagai aktor. Debut di 2003, mereka bukan cuma sukses besar di Korea tapi juga populer luar biasa di Jepang. Sejak saat itu, Hangeng kembali dan beraktivitas di China. ,,,,Di tahun 2010, SM membentuk SM The Ballad yang terdiri dari,, Jay,,serta Jino yang kala itu satu-satunya yang belum pernah debut di grup. Nama Jino sempat disebut bakal gabung sebagai member,, tapi ternyata sejak itu tak ada kabarnya lagi. Sampai sekarang Isak yang berdarah Jerman ini masih aktif sebagai DJ radio. ,,,,Di tengah puncak popularitas EXO,,yang kala itu berstatus sebagai leader,mengajukan tuntutan kepada SM untuk memutus kontraknya pada Mei 2014 dengan alasan kesehatan, tidak adil dalam pembagian profit, tidak merasa bebas, dan merasa diperlakukan seperti barang. ,,,,,adalah girlband SM yang terdiri dari empat member dan debut di 2004. Sayangnya setelah lama vakum, mereka lebih aktif sebagai duo,. Sedangkan Lina lebih dikenal sebagai bintang musikal. ,,,,Selain idola K-Pop, SM Entertainment juga punya beberapa aktris cantik. Salah satunya adalah,yang dikenal lewat kecantikan wajahnya. Sayangnya di awal 2017, ia memutuskan untuk meninggalkan SM yang telah 17 tahun menemaninya. Sejak saat itu, Go Ara menjadi aktris di bawah agensi Artists Company. Ia juga anggota dari SM The Ballad angkatan kedua di tahun 2014 dan sempat hampir debut bersama SNSD. Sempat ikut di acara untuk,, Hansol diketahui meninggalkan SM karena diduga tak kunjung debut. Herin diperkenalkan sebagai member SM The Rookies pada 2015 dan diketahui meninggalkan agensi tersebut pada 2017, saat ia ikut dalam program,. Sayangnya Herin gagal debut bersama dengan girlband,, grup bentukan untuk para pemenang di acara Idol School. Ia mengumumkan meninggalkan SM pada April 2018."
"12 Foto Wajah Asli Idol K-Pop Saat Bangun Tidur, Ada Lisa Blackpink - V BTS!",SELEBRITI,2019-06-14,https://www.kapanlagi.com/korea/12-foto-wajah-asli-idol-k-pop-saat-bangun-tidur-ada-lisa-blackpink-v-bts-dba56b.html,"Idol K-Pop selalu dituntut untuk tampil sempurna di setiap kesempatan. Namun, mereka juga manusia biasa yang bisa terlihat jelek dalam kesehariannya. Hal itulah yang terjadi pada Lisa Blackpink hingga V BTS. Lantas, seperti apa sih penampakan wajah asli mereka saat ngantuk ataupun baru bangun tidur? Simak foto-fotonya di sini yuk!,,,,,,,Bersama,,,menyempatkan diri untuk menyapa para fansnya meski mengantuk dan bersiap untuk tidur. Bukankah ia tetap cantik meski sedang memakai piyama? ;),,,,Setelah Lisa, juga ada member,,,yang terlihat sangat lucu dan menggemaskan saat kaget karena terbangun di samping kamera. Kocak banget dan pastinya meme-able!,,,,Dalam video V Live-nya, member,memang kerap menghibur para fansnya dengan penampakan wajah gantengnya saat baru bangun tidur. Salah satu yang paling menawan adalah pesona,ini.,,,,Di saat teman-temannya sedang asyik menonton televisi,,dan,justru mengantuk hingga akhirnya tertidur seperti ini. Tetap ganteng dan cute banget kan? ;),,,,Semua orang tahu jika,merupakan salah satu idol yang sudah cantik sejak lahir. Karena itulah kamu nggak perlu kaget saat melihat pesonanya sewaktu bangun tidur.,,,,Sempat tampil di acara,,,sama sekali nggak jaim saat memperlihatkan wajah bantalnya saat baru bangun tidur.,,,,Polos tanpa makeup, ternyata,tetap saja terlihat cantik dan glowing saat mengalami insomnia seperti ini.,,,,Masih ingat dengan kemunculan,di acara,season 2? Beginilah wajah aslinya saat dibangunkan oleh,. Gemes banget!,,,,Dikenal sebagai sosok idol senior yang nggak jaim,,membuktikan jika dirinya bisa tidur di mana saja saat menjadi bintang tamu,.,pun sampai kaget dibuatnya.,,,,Tidur dengan wajah yang masih full makeup,,tetap saja terlihat ganteng saat tak kuasa menahan rasa kantuknya ini. Sepakat? ;),,,,Saat beraksi di atas panggung, Hwasa,memang seksi dan energik. Namun, ia tetaplah gadis biasa yang malas beranjak dari tempat tidurnya. Adegan ini sendiri diabadikan saat ia menjadi bintang tamu di acara,.,,,,Seperti inilah wajah asli,,,, dan,saat baru bangun tidur. Terpaksa harus menjawab pertanyaan dalam video V Live, mereka tetap menunjukkan wajah aslinya demi menghibur para ARMY (sebutan untuk para fans,). Siapa sih yang paling ganteng di antara mereka?,","Idol K-Pop selalu dituntut untuk tampil sempurna di setiap kesempatan. Namun, mereka juga manusia biasa yang bisa terlihat jelek dalam kesehariannya. Hal itulah yang terjadi pada Lisa Blackpink hingga V BTS. Lantas, seperti apa sih penampakan wajah asli mereka saat ngantuk ataupun baru bangun tidur? Bukankah ia tetap cantik meski sedang memakai piyama? ;),,,, Salah satu yang paling menawan adalah pesona,ini. Karena itulah kamu nggak perlu kaget saat melihat pesonanya sewaktu bangun tidur. ,,,,Polos tanpa makeup, ternyata,tetap saja terlihat cantik dan glowing saat mengalami insomnia seperti ini. ,,,,Masih ingat dengan kemunculan,di acara,season 2? Beginilah wajah aslinya saat dibangunkan oleh,. Gemes banget!,,,,Dikenal sebagai sosok idol senior yang nggak jaim,,membuktikan jika dirinya bisa tidur di mana saja saat menjadi bintang tamu,. Terpaksa harus menjawab pertanyaan dalam video V Live, mereka tetap menunjukkan wajah aslinya demi menghibur para ARMY (sebutan untuk para fans,). Siapa sih yang paling ganteng di antara mereka?,"
"Sinopsis 'THE CURSE OF THE WEEPING WOMAN', Hantu La Llorona Penculik Anak Kecil",SELEBRITI,2019-04-15,https://www.kapanlagi.com/showbiz/film/internasional/sinopsis-the-curse-of-the-weeping-woman-hantu-la-llorona-penculik-anak-kecil-dedbf0.html,"Kalau kamu suka nonton film-film horor semacam,, maka jangan sampai kelewatan untuk menyaksikan,. Film debut sutradara Michael Chaves ini diproduseri oleh,, orang di balik kesuksesan,dan,.,Inti cerita dari,adalah sosok La Llorona atau Wanita Menangis, tokoh dari cerita rakyat terkenal di Amerika Latin. La Llorona diceritakan sebagai wanita yang kehilangan anaknya dan mencoba menghancurkan keluarga lain dengan mengambil anak mereka dan menjadikannya sebagai anaknya.,Tertarik dengan ceritanya? Simak sedikit yuk sinopsisnya sebelum nonton!,,,,,Di tahun 1973, Anna Garcia (,), wanita single mother yang berprofesi sebagai seorang pekerja sosial, hidup bersama dengan dua anaknya. Sejak kematian sang suami, ia agak kesulitan mengurus anak, apalagi dengan pekerjaannya.,,,Anna semakin bingung, ketika mendapati kalau kasus tersebut punya kesamaan dengan apa yang sedang dialami oleh keluarganya. Ada kejadian supernatural yang menghantui keluarganya.,","Kalau kamu suka nonton film-film horor semacam,, maka jangan sampai kelewatan untuk menyaksikan,. Simak sedikit yuk sinopsisnya sebelum nonton!,,,,,Di tahun 1973, Anna Garcia (,), wanita single mother yang berprofesi sebagai seorang pekerja sosial, hidup bersama dengan dua anaknya. Sejak kematian sang suami, ia agak kesulitan mengurus anak, apalagi dengan pekerjaannya. Ada kejadian supernatural yang menghantui keluarganya.,"
"Jisoo dan Jennie BLACKPINK 'Cover Keong Racun', Kocak Banget!",SELEBRITI,2019-06-15,https://www.kapanlagi.com/korea/jisoo-dan-jennie-blackpink-cover-keong-racun-kocak-banget-932f50.html,"Hubungan member,satu sama lain memang manis. Mereka bukan hanya saling mendukung tapi juga kompak dalam melakukan banyak hal bersama. Seperti halnya yang dilakukan oleh,dan,.,Bukan cuma saling itu, mereka juga mendukung idola lainnya. Seperti yang keduanya tunjukkan untuk,. Mantan member girlband,itu kini bersolo karir dan merilis single andalannya,pada hari Kamis 13 Juni 2019.,Somi kini memang berada di bawah naungan The Black Label, salah satu anak perusahaan YG Entertainment. Makanya nggak heran kalau Jennie dan Jisoo memberikan dukungan.,,,,,,,Lewat akun Instagram-nya, Jennie mengunggah sebuah video pada hari Kamis 13 April 2019. Bersama dengan Jisoo, ia memutar lagi Somi terbaru yang berjudul,.,Dalam video tersebut, dua wanita cantik ini tampak menggoyangkan kepala, jari, dan tangan mengikuti irama musik. Sesekali mereka juga melakukan lipsynch menyanyikan lirik lagu Birthday yang memang catchy banget ini.,,,Ternyata kelakuan cute dari Jisoo dan Jennie ini menjadi korban keisengan fans K-Pop di Indonesia. Ada yang mengganti lagu Birthday milik Somi dengan lagu dangdut,,, yang hits pada masanya. Buat yang belum tahu, dulu ada duo Shinta dan Jojo yang mendadak beken setelah melakukan lipsyinc dan bergoyang lagu Keong Racun.,Tak pelak gaya asyik Jisoo dan Jennie ini pun mengingatkan netizens Indonesia akan Shinta dan Jojo. Apalagi nih goyangan mereka di video memang pas banget dengan irama musik Keong Racun.,","Hubungan member,satu sama lain memang manis. Mereka bukan hanya saling mendukung tapi juga kompak dalam melakukan banyak hal bersama. ,Bukan cuma saling itu, mereka juga mendukung idola lainnya. Makanya nggak heran kalau Jennie dan Jisoo memberikan dukungan. Sesekali mereka juga melakukan lipsynch menyanyikan lirik lagu Birthday yang memang catchy banget ini. ,,,Ternyata kelakuan cute dari Jisoo dan Jennie ini menjadi korban keisengan fans K-Pop di Indonesia. Apalagi nih goyangan mereka di video memang pas banget dengan irama musik Keong Racun.,"
"Derita Tumor Otak, Penampilan Agung Hercules Kini Berubah Drastis",SELEBRITI,2019-06-16,https://www.kapanlagi.com/showbiz/selebriti/derita-tumor-otak-penampilan-agung-hercules-kini-berubah-drastis-2d9567.html,"Nama,belakangan memang sudah tak banyak terdengar. Rupanya, pria yang dikenal berpenampilan kekar dan berambut gondrong ini tengah menderita sakit.,Diketahui dari unggahannya di Instagram, Agung terlihat sedang menjalani perawatan di salah satu rumah sakit. Dalam foto yang dipostingnya, ia tampak sedang dikunjungi oleh Bedu dan Surya.,Penampilan terbaru Agung pun mendadak jadi sorotan. Gayanya yang selalu berambut gondrong dan bertubuh bugar kini sirna. Dia terlihat lebih kurus dan rambut gondrongnya pun tak ada.,,,,,,,,Sesama rekan artis, Isa bajaj juga sempat tampak menjenguk Agung Hercules. Ayah satu anak itu tak lupa memberikan doa untuk kesembuhan Agung. ""Lekas sembuh dan sehat kembali mas @agunghercules88 kita lempar barbel dan motoran lagi mas,"" tulisnya.,,,,Sakitnya Agung Hercules ini tentu membuat publik penasaran. Apa sebenarnya sakit yang diderita Agung? Melalui akun sosial media, istri pemilik nama lengkap Agung Santoso ini kemudian menyebutkan penyakit sang suami.,,,Gejala dari Glioblastoma adalah munculnya sakit kepala, mual, muntah, hingga kejang. Beberapa hal dapat diakibatkan oleh timbulnya penyakit ini. Di antaranya tubuh lumpuh, kesulitan berbicara sampai adanya gangguan penglihatan.,","Nama,belakangan memang sudah tak banyak terdengar. Rupanya, pria yang dikenal berpenampilan kekar dan berambut gondrong ini tengah menderita sakit. Dalam foto yang dipostingnya, ia tampak sedang dikunjungi oleh Bedu dan Surya. ,,,,,,,,Sesama rekan artis, Isa bajaj juga sempat tampak menjenguk Agung Hercules. Ayah satu anak itu tak lupa memberikan doa untuk kesembuhan Agung. "" Apa sebenarnya sakit yang diderita Agung? ,,,Gejala dari Glioblastoma adalah munculnya sakit kepala, mual, muntah, hingga kejang. Beberapa hal dapat diakibatkan oleh timbulnya penyakit ini."
Dedey Risjad Mantan Suami Diana Pungky Nikahi Gwen Priscilla Ex-Personel Mahadewi,SELEBRITI,2019-06-11,https://www.kapanlagi.com/showbiz/selebriti/mantan-suami-diana-pungky-nikahi-ex-personel-mahadewi-8326b1.html,"Sejak memutuskan turun dari panggung hiburan sosok,memang jauh dari pemberitaan. Namun wanita yang lekat dengan karakter Jinny ini ternyata telah berpisah dari sang suami, Dedey Risjad. Kini mantan suami Diana Pungky dikabarkan telah menikahi,mantan personel,.,Perpisahan Diana dan Dedey tak tercium media dan publik. Tak ada yang tahu pasti kapankah Diana dan Dedey berpisah, meski sempat berhembus kabar keduanya mengalami masalah rumah tangga pada 2009 lalu. Namun kini pernikahan sang mantan suami menjadi perbincangan publik.,,,,,,,,,,Mantan suami Diana dan Gwen menikah di sebuah restoran di kawasan Malang, Jawa Timur. Pernikahan indah ini berlangsung pada Sabtu, 8 Juni 2019. Gwen dan Dedey memilih konsep pernikahan outdoor dengan suasana alam yang menyegarkan.,,,Dedey mempersunting Diana Pungky pada 2005 silam. Sebelum resmi menikah, Diana dan Dedey telah berpacaran selama 9 tahun. Tak banyak informasi diketahui tentang pria satu ini.,","Sejak memutuskan turun dari panggung hiburan sosok,memang jauh dari pemberitaan. Kini mantan suami Diana Pungky dikabarkan telah menikahi,mantan personel,. Tak ada yang tahu pasti kapankah Diana dan Dedey berpisah, meski sempat berhembus kabar keduanya mengalami masalah rumah tangga pada 2009 lalu. Pernikahan indah ini berlangsung pada Sabtu, 8 Juni 2019. Gwen dan Dedey memilih konsep pernikahan outdoor dengan suasana alam yang menyegarkan. Tak banyak informasi diketahui tentang pria satu ini.,"
Akhirnya Meghan Markle dan Pangeran Harry Temukan Pengasuh untuk Baby Archie,SELEBRITI,2019-06-14,https://www.kapanlagi.com/showbiz/hollywood/akhirnya-meghan-markle-dan-pangeran-harry-temukan-pengasuh-untuk-baby-archie-e9a8d4.html,"Kehidupan rumah tangga,dan,makin semarak dengan kehadiran si kecil Baby Archie. Namun kesibukan kedua bangsawan ini otomatis memaksa mereka untuk mencari pengasuh. Pangeran Harry sudah sibuk dengan jadwal kegiatan musim panas. Sedangkan Meghan akan kembali bertugas di musim gugur mendatang.,Kini pasangan Duke dan Duchess of Sussex ini telah memiliki pengasuh alias nanny untuk baby Archie. Namun dilansir dari Harper's Bazaar, keduanya memilih menyembunyikan identitas pengasuh demi alasan keamanan. Namun sang pengasuh tak akan tinggal di dalam Frogmore Cottage serta tidak bekerja di akhir pekan.,,,,,Pasangan ini merasa perlu meminta bantuan tambahan pasalnya mereka akan melakukan tur Afrika di bulan Oktober. Beberapa sumber bahkan menyatakan si kecil Archie Mountbatten-Windsor akan ikut ke tur satu ini.,,,Staff baru Meghan dan Harry yang terlihat di publik adalah Maria Barallo. Ia lulusan Norland College dan direkrut sebagai staff House of Cambridges di tahun 2014. Pengasuh satu ini sering terlihat di beberapa acara kerajaan Inggris.,","Kehidupan rumah tangga,dan,makin semarak dengan kehadiran si kecil Baby Archie. Namun kesibukan kedua bangsawan ini otomatis memaksa mereka untuk mencari pengasuh. Sedangkan Meghan akan kembali bertugas di musim gugur mendatang. ,,,,,Pasangan ini merasa perlu meminta bantuan tambahan pasalnya mereka akan melakukan tur Afrika di bulan Oktober. Beberapa sumber bahkan menyatakan si kecil Archie Mountbatten-Windsor akan ikut ke tur satu ini. Pengasuh satu ini sering terlihat di beberapa acara kerajaan Inggris.,"
